index,x,y,z
618,0.006287,-0.147781,-0.991058
619,0.005157,-0.146164,-0.978531
620,0.005341,-0.147507,-0.97789
621,0.004791,-0.153641,-0.985657
622,0.00354,-0.144943,-0.98381
623,0.00705,-0.144272,-0.989258
624,0.005463,-0.14772,-0.991028
625,0.004074,-0.143616,-0.975174
626,0.006927,-0.152069,-0.979889
627,0.004349,-0.15239,-0.987137
628,0.004929,-0.14534,-0.982147
629,0.007645,-0.148224,-0.990631
630,0.004105,-0.14621,-0.990448
631,0.00621,-0.145035,-0.975067
632,0.007095,-0.151474,-0.985489
633,0.001099,-0.15094,-0.984085
634,0.005615,-0.147263,-0.982437
635,0.005737,-0.14624,-0.994766
636,0.002701,-0.143875,-0.986801
637,0.009048,-0.147705,-0.977539
638,0.004791,-0.151535,-0.981186
639,0.004059,-0.150726,-0.97963
640,0.005875,-0.148895,-0.987549
641,0.003418,-0.143402,-0.994843
642,0.005905,-0.14566,-0.983994
643,0.006363,-0.147018,-0.980423
644,0.003952,-0.150116,-0.981781
645,0.004303,-0.150284,-0.97934
646,0.004761,-0.144775,-0.985931
647,0.004852,-0.147064,-0.991989
648,0.007034,-0.146011,-0.984268
649,0.005981,-0.146515,-0.981934
650,0.004654,-0.154785,-0.982559
651,0.00502,-0.1492,-0.980423
652,0.005127,-0.145432,-0.992355
653,0.005814,-0.148727,-0.994049
654,0.00502,-0.14212,-0.98494
655,0.006088,-0.149063,-0.984009
656,0.00528,-0.153809,-0.981995
657,0.004044,-0.146912,-0.982712
658,0.005936,-0.150253,-0.993942
659,0.004578,-0.145126,-0.991364
660,0.005249,-0.140854,-0.981766
661,0.007202,-0.152878,-0.985031
662,0.002975,-0.147827,-0.979218
663,0.005829,-0.148346,-0.982086
664,0.005615,-0.149521,-0.994614
665,0.004105,-0.140015,-0.982529
666,0.009277,-0.148026,-0.985016
667,0.004211,-0.150757,-0.986588
668,0.003906,-0.147568,-0.974854
669,0.007309,-0.152328,-0.985962
670,0.003174,-0.146332,-0.992264
671,0.005829,-0.142731,-0.987259
672,0.007721,-0.148422,-0.988586
673,0.00383,-0.147385,-0.980011
674,0.007431,-0.149734,-0.977844
675,0.004379,-0.151016,-0.99231
676,0.003479,-0.145767,-0.988144
677,0.007477,-0.145081,-0.988861
678,0.00499,-0.14682,-0.988129
679,0.005157,-0.149368,-0.977615
680,0.007675,-0.150604,-0.980698
681,0.002518,-0.150055,-0.992294
682,0.005798,-0.145676,-0.986206
683,0.007294,-0.144058,-0.987701
684,0.005386,-0.148758,-0.984879
685,0.006348,-0.149323,-0.976959
686,0.00412,-0.149155,-0.98349
687,0.003693,-0.151016,-0.98793
688,0.004272,-0.143372,-0.987396
689,0.007385,-0.145828,-0.989883
690,0.006699,-0.150421,-0.983551
691,0.004852,-0.146332,-0.978821
692,0.006149,-0.151657,-0.98732
693,0.004868,-0.149948,-0.988434
694,0.005844,-0.141907,-0.98671
695,0.006866,-0.149353,-0.990646
696,0.004395,-0.146378,-0.982635
697,0.004837,-0.146545,-0.978622
698,0.005249,-0.154709,-0.989334
699,0.003357,-0.144913,-0.985321
700,0.007858,-0.144379,-0.988525
701,0.006607,-0.1483,-0.992065
702,0.004425,-0.143036,-0.979004
703,0.007553,-0.151169,-0.980438
704,0.003571,-0.152481,-0.98877
705,0.003006,-0.144089,-0.983597
706,0.008194,-0.14801,-0.989456
707,0.00383,-0.145493,-0.99263
708,0.00441,-0.144012,-0.975555
709,0.008072,-0.153687,-0.981476
710,0.002487,-0.149384,-0.984192
711,0.00499,-0.146332,-0.98056
712,0.007401,-0.147888,-0.992371
713,0.002823,-0.142822,-0.989838
714,0.007629,-0.147751,-0.978378
715,0.005295,-0.152603,-0.984344
716,0.002487,-0.149567,-0.9814
717,0.00766,-0.149399,-0.984451
718,0.005585,-0.14653,-0.994675
719,0.0047,-0.144928,-0.98732
720,0.00766,-0.146576,-0.982101
721,0.003754,-0.149124,-0.984909
722,0.003235,-0.15126,-0.981812
723,0.005707,-0.148193,-0.985733
724,0.004684,-0.14624,-0.992508
725,0.006088,-0.145859,-0.984512
726,0.006516,-0.143494,-0.979813
727,0.0056,-0.149948,-0.981934
728,0.005096,-0.150131,-0.978638
729,0.00592,-0.144943,-0.982712
730,0.00499,-0.147018,-0.989731
731,0.004791,-0.143051,-0.985352
732,0.005554,-0.144302,-0.982056
733,0.006027,-0.152954,-0.983459
